Quận/Huyện,Phường/Xã,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ (phòng),Dài (m),Rộng (m),Giá/m2 (triệu/m²)
Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,4,82.95
Quận Đống Đa,Phường Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,6,11.5,4.8,120
Quận Long Biên,Phường Phúc Lợi,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3,65
Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,8,12,3.8,111.11
Quận Long Biên,Phường Long Biên,Nhà phố liền kề,Đã có sổ,6,4,10,4,105.26
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,12,3,138.04
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,40
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,3,33,3,100
Huyện Hoài Đức,Xã La Phù,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,3.5,50
Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,104.29
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3.6,37.5
Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,12,4,90
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3,41.71
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,66.25
Quận Đống Đa,Phường Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,8,6,10,4,238.1
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4.2,73.81
Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,18,6,106.48
Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3.8,97.11
Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,13,4,88.46
Quận Hai Bà Trưng,Phường Bùi Thị Xuân,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,13,6.2,180.68
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,6,8,6,7,130
Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,6,12,3,80.48
Quận Hoàn Kiếm,Phường Hàng Trống,"Nhà mặt phố, mặt tiền",Đã có sổ,6,3,6.6,4,673.08
Quận Đống Đa,Phường Cát Linh,"Nhà ngõ, hẻm",Đã có sổ,5,3,6,5,83.33
Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,4,85
Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,3.5,80
Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,3,90
Quận Cầu Giấy,Phường Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,4,4,9,6,77.34
Quận Tây Hồ,Phường Bưởi,"Nhà mặt phố, mặt tiền",Đã có sổ,7,6,11,8,406.98
Quận Hai Bà Trưng,Phường Quỳnh Lôi,"Nhà ngõ, hẻm",Đã có sổ,4,4,9.74,3.8,81.08
Quận Đống Đa,Phường Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,5,5,12,4,106.98
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,5,9,4,94.29
Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,4,80
Quận Long Biên,Phường Sài Đồng,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,13,4,81.13
Huyện Hoài Đức,Xã Vân Côn,"Nhà mặt phố, mặt tiền",Đã có sổ,2,4,12,12,40.27
Quận Hai Bà Trưng,Phường Quỳnh Lôi,"Nhà ngõ, hẻm",Đã có sổ,5,3,12,4,126.67
Quận Đống Đa,Phường Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,9,7,103.33
Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,5,6,9,3,120
Quận Long Biên,Phường Thạch Bàn,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,9,4,94.44
Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,3,14,4,104.76
Quận Bắc Từ Liêm,Phường Phú Diễn,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,10,4,63.75
Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,3,3,10,3,89.06
Quận Long Biên,Phường Thượng Thanh,"Nhà ngõ, hẻm",Đã có sổ,6,10,22,5,116.07
Quận Tây Hồ,Phường Quảng An,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,5,97.67
Quận Hoàng Mai,Phường Thanh Trì,"Nhà ngõ, hẻm",Đã có sổ,5,3,6,4,62.5
Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,4,4,6.7,6,51.25
Quận Thanh Xuân,Phường Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,6,2,158.33
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,3,7,5,71.88
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,2,2,9,4,40
Huyện Hoài Đức,Xã Đông La,"Nhà ngõ, hẻm",Đã có sổ,3,3,9,4,39.39
Quận Long Biên,Phường Ngọc Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5,10,32,105.88
Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,5,5,11,4.5,106
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5,4,14,4,183.33
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,4,83.75
Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,6,4,61.67
Quận Tây Hồ,Phường Thụy Khuê,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,6,8,74
Quận Hoàng Mai,Phường Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,4,7,8,8,184.85
Quận Đống Đa,Phường Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,6,11,4,120
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,11,4,85.365
Quận Hai Bà Trưng,Phường Đống Mác,"Nhà mặt phố, mặt tiền",Đã có sổ,6,4,8,6,37.5
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,4,104.41
Quận Ba Đình,Phường Kim Mã,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,7,6,289.13
Quận Ba Đình,Phường Quán Thánh,"Nhà ngõ, hẻm",Đã có sổ,5,3,6,5,120
Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,5,11,4,58
Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,7,9,8,6,176
Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,103.33
Quận Thanh Xuân,Phường Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,3,126.83
Quận Hoàng Mai,Phường Định Công,Nhà phố liền kề,Đã có sổ,4,4,15,5,124
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,4,2,8,31,280
Quận Tây Hồ,Phường Nhật Tân,Nhà biệt thự,Đã có sổ,3,4,12,13,132.53
Quận Đống Đa,Phường Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3,117.14
Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,3,2,10,4,68.75
Quận Thanh Xuân,Phường Kim Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,10,4,86.67
Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,3,3,8,4,156.76
Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,4,71.74
Quận Nam Từ Liêm,Phường Xuân Phương,"Nhà ngõ, hẻm",Đã có sổ,5,3,8.61,3.27,68.75
Huyện Gia Lâm,Xã Dương Quang,"Nhà ngõ, hẻm",Đã có sổ,3,5,11,7,179.775
Quận Hà Đông,Phường Vạn Phúc,"Nhà mặt phố, mặt tiền",Đã có sổ,4,2,10,4,93.94
Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,5,6,11,4,102.27
Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,81.58
Quận Hoàng Mai,Phường Yên Sở,"Nhà mặt phố, mặt tiền",Đã có sổ,6,6,12,3.7,1.05
Quận Long Biên,Phường Đức Giang,"Nhà ngõ, hẻm",Đã có sổ,5,3,910,320,90
Quận Ba Đình,Phường Phúc Xá,"Nhà ngõ, hẻm",Đã có sổ,2,2,15,3,69.09
Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,15,4,140
Quận Nam Từ Liêm,Phường Trung Văn,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,7,7,115
Quận Thanh Xuân,Phường Phương Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,8,5,141.03
Quận Ba Đình,Phường Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,4,3,5,11,98.18
Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,6,10,4,137.78
Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,2,2,12,35,38.16
Quận Đống Đa,Phường Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,16,5,268.75
Quận Ba Đình,Phường Quán Thánh,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,197.5
Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,4,57.78
Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,3,83.33
Huyện Đông Anh,Xã Hải Bối,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,10,4,44.19
Quận Đống Đa,Phường Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,5,4,14,5,135.21
Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,6,77.78
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,5,10,5.1,62.96
Quận Bắc Từ Liêm,Phường Thụy Phương,"Nhà ngõ, hẻm",Đã có sổ,2,2,16,5,34.09
Huyện Thanh Trì,Xã Tân Triều,Nhà biệt thự,Đã có sổ,4,6,20,5,106
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,4,160.61
Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,6,5,16,5,39.06
Quận Đống Đa,Phường Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,9,4,143.06
Quận Đống Đa,Phường Nam Đồng,Nhà biệt thự,Đã có sổ,4,4,20,5,102
Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà mặt phố, mặt tiền",Đã có sổ,6,6,13,6,197.44
Quận Đống Đa,Phường Kim Liên,"Nhà mặt phố, mặt tiền",Đã có sổ,1,2,14,4,50
Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà mặt phố, mặt tiền",Đã có sổ,6,6,7,10,342.86
Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,5,3,11,3,111.63
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3,91.67
Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,3,2,12,4,104.29
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,3,3,14,3,128.26
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,4,11,3,90.63
Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,3,6,5,95.95
Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,6,10,4.5,77.78
Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,3,6,3,90.63
Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,7,3,8,5,147.5
Quận Hoàng Mai,Phường Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,3,2,12,4,55.37
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,3,3,11,3,50
Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,3,7.3,4.5,83.33
Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,4,89.39
Quận Hoàng Mai,Phường Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,4,3,9.75,3.05,76.67
Quận Đống Đa,Phường Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,4,3,6,3.2,75
Quận Đống Đa,Phường Thổ Quan,"Nhà ngõ, hẻm",Đã có sổ,3,2,8.5,4,80
Quận Đống Đa,Phường Văn Miếu,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,3.8,80
Quận Đống Đa,Phường Cát Linh,"Nhà ngõ, hẻm",Đã có sổ,6,3,5,3,93.33
Quận Đống Đa,Phường Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,5,6,11,3.8,90
Quận Bắc Từ Liêm,Phường Xuân Tảo,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,9,5,12.31
Quận Hà Đông,Phường Dương Nội,Nhà phố liền kề,Đang chờ sổ,6,8,107,75,137.5
Huyện Hoài Đức,Xã La Phù,"Nhà ngõ, hẻm",Đã có sổ,3,3,9,3,47.5
Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3,107.14
Quận Ba Đình,Phường Thành Công,"Nhà ngõ, hẻm",Đã có sổ,3,3,12,5,51.67
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,92.68
Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,5,3,13,4,103.64
Quận Hoàng Mai,Phường Định Công,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,18,8,52
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,4,2,6,4,77.27
Quận Ba Đình,Phường Ngọc Khánh,Nhà phố liền kề,Đã có sổ,5,5,10,3,104.29
Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,3,3,6.3,4,74
Quận Đống Đa,Phường Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,4,6,16,4.3,235.71
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,6,4,11,4,141.11
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,10,6,358.33
Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,4,5,10,4,80.49
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,11,4,70.93
Quận Nam Từ Liêm,Phường Mỹ Đình 2,Nhà phố liền kề,Đã có sổ,3,3,12,4,99
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,12,5,223.33
Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,15,4,90
Quận Đống Đa,Phường Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,5,4,8,5,96.49
Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà ngõ, hẻm",Đã có sổ,7,5,14,3.8,105.77
Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,15,4,90
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,5,6,10,4,127.5
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,10,3,88.89
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,3,3,12.5,4,75.6
Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,2,118
Quận Hà Đông,Phường Mộ Lao,Nhà phố liền kề,Đã có sổ,5,6,15,5,110.53
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,4,3,6,5,73.33
Quận Đống Đa,Phường Văn Miếu,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,3,100
Quận Thanh Xuân,Phường Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,8,10,4,67.5
Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,106.45
Quận Hà Đông,Phường Hà Cầu,Nhà phố liền kề,Đã có sổ,5,4,12,4,130
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5,3,6,5,81.67
Quận Long Biên,Phường Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,6,56.35
Quận Thanh Xuân,Phường Kim Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,1,4,7.5,8.9,191.18
Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,3,4,125,8,80
Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,4,3,14,4,160.71
Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,4,5,12,4,71.74
Quận Tây Hồ,Phường Yên Phụ,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,102.63
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,6,5,10,3.3,117.19
Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,3,110
Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,3,2,17,3,71.82
Quận Cầu Giấy,Phường Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,6,8,5,97.5
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,16,5,97.5
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,3,5,5,89.58
Quận Đống Đa,Phường Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5,12,4,93.46
Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,3,5,16,4,52.94
Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,10,20,80.81
Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,3,70.31
Quận Thanh Xuân,Phường Thanh Xuân Bắc,"Nhà ngõ, hẻm",Đã có sổ,5,3,6,5,112.5
Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,3,3,7,4,79.2
Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,4,3,7,4,67.74
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,3,3,10,4,82.95
Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,3.31,100
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,4,4,7.8,3.9,98.33
Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,5,5,8,5,125
Quận Nam Từ Liêm,Phường Xuân Phương,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,9,4,138.89
Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,11,4,151.11
Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,35,85.71
Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,5,7,9,4,90.28
Quận Đống Đa,Phường Văn Chương,"Nhà ngõ, hẻm",Đã có sổ,3,2,8,3,72.73
Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,5,6,9.8,7,80.3
Quận Long Biên,Phường Bồ Đề,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,8,6,121.28
Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,4,81.21
Quận Hoàng Mai,Phường Hoàng Liệt,Nhà biệt thự,Đã có sổ,4,4,20,10,115
Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,2,2,9,3,63.79
Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,4,90.28
Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,4,4,9,4,90.28
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,8,4,107.81
Huyện Hoài Đức,Xã Đông La,"Nhà ngõ, hẻm",Đã có sổ,3,3,8,3,41.56
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,4,15,5,114.67
Quận Bắc Từ Liêm,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3.6,65.28
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,3,11,3,75
Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,5,6,11,4,88
Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,3,59.46
Quận Tây Hồ,Phường Thụy Khuê,"Nhà mặt phố, mặt tiền",Đã có sổ,3,2,12,5,133.33
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,3.9,115.63
Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,3,3,6,5,71.88
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,4,134.38
Quận Nam Từ Liêm,Phường Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,4,71.88
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,8.5,3.8,49.03
Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,4,4,8,6,83
Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,10,5,117
Quận Hai Bà Trưng,Phường Lê Đại Hành,"Nhà ngõ, hẻm",Đã có sổ,6,4,8,3,100
Quận Ba Đình,Phường Trúc Bạch,"Nhà mặt phố, mặt tiền",Đã có sổ,8,6,18,6,600
Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,4,4,6.5,5,95.45
Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3,85
Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,6,4,110
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,2.6,96.3
Quận Ba Đình,Phường Quán Thánh,"Nhà mặt phố, mặt tiền",Đã có sổ,3,2,3.6,9,89.39
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,3,7,4,107.14
Quận Hà Đông,Phường Phú La,"Nhà ngõ, hẻm",Đã có sổ,5,4,6,5,93.333
Quận Thanh Xuân,Phường Thanh Xuân Bắc,"Nhà ngõ, hẻm",Đã có sổ,5,5,13,3,62.22
Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,3,85.71
Quận Cầu Giấy,Phường Dịch Vọng,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2,15,4,200
Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,3.6,87.5
Quận Long Biên,Phường Phúc Đồng,"Nhà ngõ, hẻm",Đã có sổ,4,4,9.8,6.5,111.54
Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,3,3,16,5,67.07
Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,5,6,16,3,127.69
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,7,4,86
Quận Thanh Xuân,Phường Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,1,1,10,4,55.56
Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,9,4.3,126.92
Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,6,9,17,3.5,136.67
Quận Long Biên,Phường Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,5,5,14,4,112.31
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,3,3,11,3,50
Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5,3,5,6,74.47
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,5,11,4,102.27
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,7,6,7,100
Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,4,4,13,4,76.92
Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,4,5,9,3,86.36
Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,6,9,3,102.86
Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,4,100
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,6,11,3,83.33
Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,2,9,3,58
